verb	total	v1	v2	total_2009	v1_2009	v2_2009	v1rel_2009	v2rel_2009
acceptera	2584	2510	74	311	300	11	0.9646302250803859	0.03536977491961415
äga	69	14	55	8	1	7	0.125	0.875
älska	128616	124698	3918	16762	16285	477	0.9715427753251402	0.028457224674859803
ämna	1736	286	1450	179	32	147	0.1787709497206704	0.8212290502793296
anse	17319	1381	15938	2334	168	2166	0.07197943444730077	0.9280205655526992
avböja	164	160	4	22	21	1	0.9545454545454546	0.045454545454545456
avse	2948	2120	828	300	205	95	0.6833333333333333	0.31666666666666665
avsky	10579	10333	246	1298	1266	32	0.975346687211094	0.02465331278890601
befinnas	0	0	0	0	0	0	NaN	NaN
begynna	16	3	13	0	0	0	NaN	NaN
behaga	16457	3350	13107	2309	447	1862	0.19359029883066262	0.8064097011693374
behöva	771883	955	770928	96148	117	96031	0.0012168739859383451	0.9987831260140616
besluta	3883	3714	169	546	523	23	0.9578754578754579	0.04212454212454213
böra	1004980	92	1004888	121636	12	121624	9.865500345292512e-05	0.999901344996547
börja	1655198	19835	1635363	221984	2290	219694	0.010316058815049734	0.9896839411849503
bruka	1051415	423	1050992	138455	49	138406	0.0003539056010978296	0.9996460943989022
diskutera	496	396	100	60	48	12	0.8	0.2
få	4975977	4644	4971333	697811	665	697146	0.0009529801049281252	0.9990470198950718
förakta	5	4	1	0	0	0	NaN	NaN
föredra	16261	15908	353	1835	1790	45	0.9754768392370572	0.02452316076294278
förefalla	1116	55	1061	96	4	92	0.041666666666666664	0.9583333333333334
förmå	3375	926	2449	362	91	271	0.2513812154696133	0.7486187845303868
försöka	926086	45192	880894	115992	5668	110324	0.04886543899579281	0.9511345610042072
förstå	2432	1690	742	340	214	126	0.6294117647058823	0.37058823529411766
försumma	27	27	0	1	1	0	1.0	0.0
förtjäna	11920	11617	303	1226	1193	33	0.9730831973898858	0.026916802610114192
fortsätta	136636	52273	84363	16972	6603	10369	0.38905255715295783	0.6109474428470422
frukta	63	59	4	5	5	0	1.0	0.0
gilla	126899	122308	4591	16119	15493	626	0.9611638439109126	0.038836156089087415
gitta	134	4	130	14	0	14	0.0	1.0
glömma	112856	16498	96358	14903	2186	12717	0.14668187613232236	0.8533181238676777
ha	224288	93449	130839	30611	12501	18110	0.40838260755937406	0.5916173924406259
hata	39834	38650	1184	5538	5322	216	0.9609967497291441	0.0390032502708559
hinna	230696	2523	228173	32577	292	32285	0.008963379071123798	0.9910366209288762
hoppas	0	0	0	0	0	0	NaN	NaN
hota	4562	3920	642	529	467	62	0.8827977315689981	0.11720226843100189
idas	46	1	45	6	0	6	0.0	1.0
komma	2680338	1070777	1609561	350789	138529	212260	0.3949069098517912	0.6050930901482088
kunna	12435258	2247	12433011	1621779	287	1621492	0.00017696615876762494	0.9998230338412324
lär	92061	116	91945	11772	15	11757	0.0012742099898063201	0.9987257900101937
låta	44819	3240	41579	6205	486	5719	0.07832393231265108	0.9216760676873489
låtsas	0	0	0	0	0	0	NaN	NaN
lova	30606	26963	3643	3901	3381	520	0.8667008459369393	0.13329915406306075
lyckas	0	0	0	0	0	0	NaN	NaN
må	41268	74	41194	5241	6	5235	0.0011448196908986834	0.9988551803091014
mäkta	26	6	20	2	0	2	0.0	1.0
måste	2379615	2130	2377485	315085	269	314816	0.0008537378802545344	0.9991462621197454
nännas	0	0	0	0	0	0	NaN	NaN
negligera	3	3	0	1	1	0	1.0	0.0
önska	13744	2463	11281	1378	235	1143	0.17053701015965167	0.8294629898403484
orka	241215	2667	238548	32443	314	32129	0.009678513084486638	0.9903214869155134
överväga	7590	7373	217	909	891	18	0.9801980198019802	0.019801980198019802
pläga	41	0	41	6	0	6	0.0	1.0
planera	46759	43212	3547	5738	5306	432	0.9247124433600558	0.07528755663994423
råka	129442	111	129331	16268	13	16255	0.000799114826653553	0.9992008851733465
riskera	32280	28804	3476	3872	3492	380	0.9018595041322314	0.0981404958677686
sakna	5981	5670	311	760	710	50	0.9342105263157895	0.06578947368421052
skola	17167497	407	17167090	2327159	50	2327109	2.1485424932288682e-05	0.9999785145750677
slippa	227695	5500	222195	32329	691	31638	0.021373998577128895	0.9786260014228712
sluta	246291	16015	230276	29993	1955	28038	0.06518187577101324	0.9348181242289868
söka	982	128	854	109	15	94	0.13761467889908258	0.8623853211009175
svära	112	74	38	7	4	3	0.5714285714285714	0.42857142857142855
synas	0	0	0	0	0	0	NaN	NaN
täckas	0	0	0	0	0	0	NaN	NaN
tåla	3204	2894	310	372	326	46	0.8763440860215054	0.12365591397849462
tänka	541466	2327	539139	74077	283	73794	0.0038203490962107	0.9961796509037893
tendera	11019	10241	778	1229	1155	74	0.9397884458909682	0.060211554109031735
tolerera	136	129	7	16	14	2	0.875	0.125
töras	103	1	102	18	0	18	0.0	1.0
torde	6239	0	6239	682	0	682	0.0	1.0
tyckas	0	0	0	0	0	0	NaN	NaN
underlåta	354	351	3	45	45	0	1.0	0.0
undvika	10734	10281	453	1196	1157	39	0.967391304347826	0.03260869565217391
upphöra	1129	1006	123	152	134	18	0.881578947368421	0.11842105263157894
våga	171347	887	170460	20905	94	20811	0.004496531930160249	0.9955034680698398
vägra	212260	32554	179706	28688	4270	24418	0.14884272169548243	0.8511572783045176
välja	279092	273640	5452	32737	32120	617	0.9811528240217491	0.018847175978250908
vänta	1481	845	636	195	92	103	0.4717948717948718	0.5282051282051282
verka	863508	938	862570	109610	108	109502	0.00098531155916431	0.9990146884408357
vilja	5815922	2055	5813867	740000	265	739735	0.0003581081081081081	0.9996418918918919
